====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
| 123 |           <- |     Assignment |                                  <- |   31 |
| 124 |              |     Identifier |                             _xxxxxx |   31 |
| 125 |           ++ |       Addition |                                  ++ |   31 |
| 126 |              |         Number |                                   1 |   31 |
| 127 |            ; |      Semicolon |                                   ; |   31 |
| 128 |              |     Identifier |                             _ccccc2 |   32 |
| 129 |           <- |     Assignment |                                  <- |   32 |
| 130 |              |     Identifier |                             _ccccc2 |   32 |
| 131 |           ++ |       Addition |                                  ++ |   32 |
| 132 |              |         Number |                                   1 |   32 |
| 133 |            ; |      Semicolon |                                   ; |   32 |
| 134 |          End |            End |                                 End |   33 |
| 135 |        While |          While |                               While |   33 |
| 136 |              |     Identifier |                             _ccccc1 |   34 |
| 137 |           <- |     Assignment |                                  <- |   34 |
| 138 |              |     Identifier |                             _ccccc1 |   34 |
| 139 |           ++ |       Addition |                                  ++ |   34 |
| 140 |              |         Number |                                   1 |   34 |
| 141 |            ; |      Semicolon |                                   ; |   34 |
| 142 |          End |            End |                                 End |   35 |
| 143 |        While |          While |                               While |   35 |
| 144 |        Write |          Write |                               Write |   36 |
| 145 |            ( |        LBraket |                                   ( |   36 |
| 146 |              |     Identifier |                             _xxxxxx |   36 |
| 147 |            ) |        RBraket |                                   ) |   36 |
| 148 |            ; |      Semicolon |                                   ; |   36 |
| 149 |        Write |          Write |                               Write |   38 |
| 150 |            ( |        LBraket |                                   ( |   38 |
| 151 |              |         String |  \nRepeat Until _aaaaaa * _bbbbbb:  |   38 |
| 152 |            ) |        RBraket |                                   ) |   38 |
| 153 |            ; |      Semicolon |                                   ; |   38 |
| 154 |              |     Identifier |                             _xxxxxx |   39 |
| 155 |           <- |     Assignment |                                  <- |   39 |
| 156 |              |         Number |                                   0 |   39 |
| 157 |            ; |      Semicolon |                                   ; |   39 |
| 158 |              |     Identifier |                             _ccccc1 |   40 |
| 159 |           <- |     Assignment |                                  <- |   40 |
| 160 |              |         Number |                                   1 |   40 |
| 161 |            ; |      Semicolon |                                   ; |   40 |
| 162 |       Repeat |         Repeat |                              Repeat |   41 |
| 163 |              |     Identifier |                             _ccccc2 |   42 |
| 164 |           <- |     Assignment |                                  <- |   42 |
| 165 |              |         Number |                                   1 |   42 |
| 166 |            ; |      Semicolon |                                   ; |   42 |
| 167 |       Repeat |         Repeat |                              Repeat |   43 |
| 168 |              |     Identifier |                             _xxxxxx |   44 |
| 169 |           <- |     Assignment |                                  <- |   44 |
| 170 |              |     Identifier |                             _xxxxxx |   44 |
| 171 |           ++ |       Addition |                                  ++ |   44 |
| 172 |              |         Number |                                   1 |   44 |
| 173 |            ; |      Semicolon |                                   ; |   44 |
| 174 |              |     Identifier |                             _ccccc2 |   45 |
| 175 |           <- |     Assignment |                                  <- |   45 |
| 176 |              |     Identifier |                             _ccccc2 |   45 |
| 177 |           ++ |       Addition |                                  ++ |   45 |
| 178 |              |         Number |                                   1 |   45 |
| 179 |            ; |      Semicolon |                                   ; |   45 |
| 180 |        Until |          Until |                               Until |   46 |
| 181 |            ( |        LBraket |                                   ( |   46 |
| 182 |            ! |            Not |                                   ! |   46 |
| 183 |            ( |        LBraket |                                   ( |   46 |
| 184 |              |     Identifier |                             _ccccc2 |   46 |
| 185 |           Et |         Greate |                                  Et |   46 |
| 186 |              |     Identifier |                             _bbbbbb |   46 |
| 187 |            ) |        RBraket |                                   ) |   46 |
| 188 |            ) |        RBraket |                                   ) |   46 |
| 189 |              |     Identifier |                             _ccccc1 |   47 |
| 190 |           <- |     Assignment |                                  <- |   47 |
| 191 |              |     Identifier |                             _ccccc1 |   47 |
| 192 |           ++ |       Addition |                                  ++ |   47 |
| 193 |              |         Number |                                   1 |   47 |
| 194 |            ; |      Semicolon |                                   ; |   47 |
| 195 |        Until |          Until |                               Until |   48 |
| 196 |            ( |        LBraket |                                   ( |   48 |
| 197 |            ! |            Not |                                   ! |   48 |
| 198 |            ( |        LBraket |                                   ( |   48 |
| 199 |              |     Identifier |                             _ccccc1 |   48 |
| 200 |           Et |         Greate |                                  Et |   48 |
| 201 |              |     Identifier |                             _aaaaaa |   48 |
| 202 |            ) |        RBraket |                                   ) |   48 |
| 203 |            ) |        RBraket |                                   ) |   48 |
| 204 |        Write |          Write |                               Write |   49 |
| 205 |            ( |        LBraket |                                   ( |   49 |
| 206 |              |     Identifier |                             _xxxxxx |   49 |
| 207 |            ) |        RBraket |                                   ) |   49 |
| 208 |            ; |      Semicolon |                                   ; |   49 |
| 209 |          End |            End |                                 End |   51 |
| 210 |              |      EndOfFile |                                     |   -1 |
====================================================================================
