====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
| 123 |            ) |        RBraket |                                   ) |   25 |
| 124 |        Start |          Start |                               Start |   26 |
| 125 |              |     Identifier |                             _ccccc2 |   27 |
| 126 |           <- |     Assignment |                                  <- |   27 |
| 127 |              |         Number |                                   0 |   27 |
| 128 |            ; |      Semicolon |                                   ; |   27 |
| 129 |        While |          While |                               While |   28 |
| 130 |            ( |        LBraket |                                   ( |   28 |
| 131 |              |     Identifier |                             _ccccc2 |   28 |
| 132 |           Lt |           Less |                                  Lt |   28 |
| 133 |              |     Identifier |                             _bbbbbb |   28 |
| 134 |            ) |        RBraket |                                   ) |   28 |
| 135 |        Start |          Start |                               Start |   29 |
| 136 |         Exit |      ExitWhile |                                Exit |   30 |
| 137 |        While |          While |                               While |   30 |
| 138 |              |     Identifier |                             _xxxxxx |   31 |
| 139 |           <- |     Assignment |                                  <- |   31 |
| 140 |              |     Identifier |                             _xxxxxx |   31 |
| 141 |           ++ |       Addition |                                  ++ |   31 |
| 142 |              |         Number |                                   1 |   31 |
| 143 |            ; |      Semicolon |                                   ; |   31 |
| 144 |              |     Identifier |                             _ccccc2 |   32 |
| 145 |           <- |     Assignment |                                  <- |   32 |
| 146 |              |     Identifier |                             _ccccc2 |   32 |
| 147 |           ++ |       Addition |                                  ++ |   32 |
| 148 |              |         Number |                                   1 |   32 |
| 149 |            ; |      Semicolon |                                   ; |   32 |
| 150 |          End |            End |                                 End |   33 |
| 151 |        While |          While |                               While |   33 |
| 152 |              |     Identifier |                             _ccccc1 |   34 |
| 153 |           <- |     Assignment |                                  <- |   34 |
| 154 |              |     Identifier |                             _ccccc1 |   34 |
| 155 |           ++ |       Addition |                                  ++ |   34 |
| 156 |              |         Number |                                   1 |   34 |
| 157 |            ; |      Semicolon |                                   ; |   34 |
| 158 |          End |            End |                                 End |   35 |
| 159 |        While |          While |                               While |   35 |
| 160 |        Write |          Write |                               Write |   36 |
| 161 |            ( |        LBraket |                                   ( |   36 |
| 162 |              |     Identifier |                             _xxxxxx |   36 |
| 163 |            ) |        RBraket |                                   ) |   36 |
| 164 |            ; |      Semicolon |                                   ; |   36 |
| 165 |        Write |          Write |                               Write |   38 |
| 166 |            ( |        LBraket |                                   ( |   38 |
| 167 |            " |         Quotes |                                   " |   38 |
| 168 |              |         String |  \nRepeat Until _aaaaaa * _bbbbbb:  |   38 |
| 169 |            " |         Quotes |                                   " |   38 |
| 170 |            ) |        RBraket |                                   ) |   38 |
| 171 |            ; |      Semicolon |                                   ; |   38 |
| 172 |              |     Identifier |                             _xxxxxx |   39 |
| 173 |           <- |     Assignment |                                  <- |   39 |
| 174 |              |         Number |                                   0 |   39 |
| 175 |            ; |      Semicolon |                                   ; |   39 |
| 176 |              |     Identifier |                             _ccccc1 |   40 |
| 177 |           <- |     Assignment |                                  <- |   40 |
| 178 |              |         Number |                                   1 |   40 |
| 179 |            ; |      Semicolon |                                   ; |   40 |
| 180 |       Repeat |         Repeat |                              Repeat |   41 |
| 181 |              |     Identifier |                             _ccccc2 |   42 |
| 182 |           <- |     Assignment |                                  <- |   42 |
| 183 |              |         Number |                                   1 |   42 |
| 184 |            ; |      Semicolon |                                   ; |   42 |
| 185 |       Repeat |         Repeat |                              Repeat |   43 |
| 186 |              |     Identifier |                             _xxxxxx |   44 |
| 187 |           <- |     Assignment |                                  <- |   44 |
| 188 |              |     Identifier |                             _xxxxxx |   44 |
| 189 |           ++ |       Addition |                                  ++ |   44 |
| 190 |              |         Number |                                   1 |   44 |
| 191 |            ; |      Semicolon |                                   ; |   44 |
| 192 |              |     Identifier |                             _ccccc2 |   45 |
| 193 |           <- |     Assignment |                                  <- |   45 |
| 194 |              |     Identifier |                             _ccccc2 |   45 |
| 195 |           ++ |       Addition |                                  ++ |   45 |
| 196 |              |         Number |                                   1 |   45 |
| 197 |            ; |      Semicolon |                                   ; |   45 |
| 198 |        Until |          Until |                               Until |   46 |
| 199 |            ( |        LBraket |                                   ( |   46 |
| 200 |            ! |            Not |                                   ! |   46 |
| 201 |            ( |        LBraket |                                   ( |   46 |
| 202 |              |     Identifier |                             _ccccc2 |   46 |
| 203 |           Et |         Greate |                                  Et |   46 |
| 204 |              |     Identifier |                             _bbbbbb |   46 |
| 205 |            ) |        RBraket |                                   ) |   46 |
| 206 |            ) |        RBraket |                                   ) |   46 |
| 207 |              |     Identifier |                             _ccccc1 |   47 |
| 208 |           <- |     Assignment |                                  <- |   47 |
| 209 |              |     Identifier |                             _ccccc1 |   47 |
| 210 |           ++ |       Addition |                                  ++ |   47 |
| 211 |              |         Number |                                   1 |   47 |
| 212 |            ; |      Semicolon |                                   ; |   47 |
| 213 |        Until |          Until |                               Until |   48 |
| 214 |            ( |        LBraket |                                   ( |   48 |
| 215 |            ! |            Not |                                   ! |   48 |
| 216 |            ( |        LBraket |                                   ( |   48 |
| 217 |              |     Identifier |                             _ccccc1 |   48 |
| 218 |           Et |         Greate |                                  Et |   48 |
| 219 |              |     Identifier |                             _aaaaaa |   48 |
| 220 |            ) |        RBraket |                                   ) |   48 |
| 221 |            ) |        RBraket |                                   ) |   48 |
| 222 |        Write |          Write |                               Write |   49 |
| 223 |            ( |        LBraket |                                   ( |   49 |
| 224 |              |     Identifier |                             _xxxxxx |   49 |
| 225 |            ) |        RBraket |                                   ) |   49 |
| 226 |            ; |      Semicolon |                                   ; |   49 |
| 227 |          End |            End |                                 End |   51 |
| 228 |              |      EndOfFile |                                     |   -1 |
====================================================================================
