============================================================
|  #  |    SYMBOL    |    TYPE    |      VALUE      | LINE |
| 134 |         Else |       Else |            Else |   40 |
| 135 |        Start |      Start |           Start |   41 |
| 136 |        Write |      Write |           Write |   42 |
| 137 |            ( |    LBraket |               ( |   42 |
| 138 |              |     Number |               0 |   42 |
| 139 |            ) |    RBraket |               ) |   42 |
| 140 |            ; |  Semicolon |               ; |   42 |
| 141 |          End |        End |             End |   43 |
| 142 |        Write |      Write |           Write |   44 |
| 143 |            ( |    LBraket |               ( |   44 |
| 144 |              |     String |              \n |   44 |
| 145 |            ) |    RBraket |               ) |   44 |
| 146 |            ; |  Semicolon |               ; |   44 |
| 147 |           If |         If |              If |   45 |
| 148 |            ( |    LBraket |               ( |   45 |
| 149 |            ( |    LBraket |               ( |   45 |
| 150 |              | Identifier |         _aaaaaa |   45 |
| 151 |           Lt |       Less |              Lt |   45 |
| 152 |              |     Number |               0 |   45 |
| 153 |            ) |    RBraket |               ) |   45 |
| 154 |            | |         Or |               | |   45 |
| 155 |            ( |    LBraket |               ( |   45 |
| 156 |              | Identifier |         _bbbbbb |   45 |
| 157 |           Lt |       Less |              Lt |   45 |
| 158 |              |     Number |               0 |   45 |
| 159 |            ) |    RBraket |               ) |   45 |
| 160 |            | |         Or |               | |   45 |
| 161 |            ( |    LBraket |               ( |   45 |
| 162 |              | Identifier |         _cccccc |   45 |
| 163 |           Lt |       Less |              Lt |   45 |
| 164 |              |     Number |               0 |   45 |
| 165 |            ) |    RBraket |               ) |   45 |
| 166 |            ) |    RBraket |               ) |   45 |
| 167 |        Start |      Start |           Start |   46 |
| 168 |        Write |      Write |           Write |   47 |
| 169 |            ( |    LBraket |               ( |   47 |
| 170 |              |     Number |              -1 |   47 |
| 171 |            ) |    RBraket |               ) |   47 |
| 172 |            ; |  Semicolon |               ; |   47 |
| 173 |          End |        End |             End |   48 |
| 174 |         Else |       Else |            Else |   49 |
| 175 |        Start |      Start |           Start |   50 |
| 176 |        Write |      Write |           Write |   51 |
| 177 |            ( |    LBraket |               ( |   51 |
| 178 |              |     Number |               0 |   51 |
| 179 |            ) |    RBraket |               ) |   51 |
| 180 |            ; |  Semicolon |               ; |   51 |
| 181 |          End |        End |             End |   52 |
| 182 |        Write |      Write |           Write |   53 |
| 183 |            ( |    LBraket |               ( |   53 |
| 184 |              |     String |              \n |   53 |
| 185 |            ) |    RBraket |               ) |   53 |
| 186 |            ; |  Semicolon |               ; |   53 |
| 187 |           If |         If |              If |   54 |
| 188 |            ( |    LBraket |               ( |   54 |
| 189 |            ! |        Not |               ! |   54 |
| 190 |            ( |    LBraket |               ( |   54 |
| 191 |              | Identifier |         _aaaaaa |   54 |
| 192 |           Lt |       Less |              Lt |   54 |
| 193 |            ( |    LBraket |               ( |   54 |
| 194 |              | Identifier |         _bbbbbb |   54 |
| 195 |           ++ |   Addition |              ++ |   54 |
| 196 |              | Identifier |         _cccccc |   54 |
| 197 |            ) |    RBraket |               ) |   54 |
| 198 |            ) |    RBraket |               ) |   54 |
| 199 |            ) |    RBraket |               ) |   54 |
| 200 |        Start |      Start |           Start |   55 |
| 201 |        Write |      Write |           Write |   56 |
| 202 |            ( |    LBraket |               ( |   56 |
| 203 |              |     Number |              10 |   56 |
| 204 |            ) |    RBraket |               ) |   56 |
| 205 |            ; |  Semicolon |               ; |   56 |
| 206 |          End |        End |             End |   57 |
| 207 |         Else |       Else |            Else |   58 |
| 208 |        Start |      Start |           Start |   59 |
| 209 |        Write |      Write |           Write |   60 |
| 210 |            ( |    LBraket |               ( |   60 |
| 211 |              |     Number |               0 |   60 |
| 212 |            ) |    RBraket |               ) |   60 |
| 213 |            ; |  Semicolon |               ; |   60 |
| 214 |          End |        End |             End |   61 |
| 215 |          End |        End |             End |   62 |
| 216 |              |  EndOfFile |                 |   -1 |
============================================================
