============================================================
|  #  |    SYMBOL    |    TYPE    |      VALUE      | LINE |
| 135 |            = |      Equal |               = |   36 |
| 136 |              | Identifier |         _cccccc |   36 |
| 137 |            ) |    RBraket |               ) |   36 |
| 138 |            ) |    RBraket |               ) |   36 |
| 139 |        Start |      Start |           Start |   37 |
| 140 |        Write |      Write |           Write |   38 |
| 141 |            ( |    LBraket |               ( |   38 |
| 142 |              |     Number |               1 |   38 |
| 143 |            ) |    RBraket |               ) |   38 |
| 144 |            ; |  Semicolon |               ; |   38 |
| 145 |          End |        End |             End |   39 |
| 146 |         Else |       Else |            Else |   40 |
| 147 |        Start |      Start |           Start |   41 |
| 148 |        Write |      Write |           Write |   42 |
| 149 |            ( |    LBraket |               ( |   42 |
| 150 |              |     Number |               0 |   42 |
| 151 |            ) |    RBraket |               ) |   42 |
| 152 |            ; |  Semicolon |               ; |   42 |
| 153 |          End |        End |             End |   43 |
| 154 |        Write |      Write |           Write |   44 |
| 155 |            ( |    LBraket |               ( |   44 |
| 156 |            " |     Quotes |               " |   44 |
| 157 |              |     String |              \n |   44 |
| 158 |            " |     Quotes |               " |   44 |
| 159 |            ) |    RBraket |               ) |   44 |
| 160 |            ; |  Semicolon |               ; |   44 |
| 161 |           If |         If |              If |   45 |
| 162 |            ( |    LBraket |               ( |   45 |
| 163 |            ( |    LBraket |               ( |   45 |
| 164 |              | Identifier |         _aaaaaa |   45 |
| 165 |           Lt |       Less |              Lt |   45 |
| 166 |              |     Number |               0 |   45 |
| 167 |            ) |    RBraket |               ) |   45 |
| 168 |            | |         Or |               | |   45 |
| 169 |            ( |    LBraket |               ( |   45 |
| 170 |              | Identifier |         _bbbbbb |   45 |
| 171 |           Lt |       Less |              Lt |   45 |
| 172 |              |     Number |               0 |   45 |
| 173 |            ) |    RBraket |               ) |   45 |
| 174 |            | |         Or |               | |   45 |
| 175 |            ( |    LBraket |               ( |   45 |
| 176 |              | Identifier |         _cccccc |   45 |
| 177 |           Lt |       Less |              Lt |   45 |
| 178 |              |     Number |               0 |   45 |
| 179 |            ) |    RBraket |               ) |   45 |
| 180 |            ) |    RBraket |               ) |   45 |
| 181 |        Start |      Start |           Start |   46 |
| 182 |        Write |      Write |           Write |   47 |
| 183 |            ( |    LBraket |               ( |   47 |
| 184 |            - |      Minus |               - |   47 |
| 185 |              |     Number |               1 |   47 |
| 186 |            ) |    RBraket |               ) |   47 |
| 187 |            ; |  Semicolon |               ; |   47 |
| 188 |          End |        End |             End |   48 |
| 189 |         Else |       Else |            Else |   49 |
| 190 |        Start |      Start |           Start |   50 |
| 191 |        Write |      Write |           Write |   51 |
| 192 |            ( |    LBraket |               ( |   51 |
| 193 |              |     Number |               0 |   51 |
| 194 |            ) |    RBraket |               ) |   51 |
| 195 |            ; |  Semicolon |               ; |   51 |
| 196 |          End |        End |             End |   52 |
| 197 |        Write |      Write |           Write |   53 |
| 198 |            ( |    LBraket |               ( |   53 |
| 199 |            " |     Quotes |               " |   53 |
| 200 |              |     String |              \n |   53 |
| 201 |            " |     Quotes |               " |   53 |
| 202 |            ) |    RBraket |               ) |   53 |
| 203 |            ; |  Semicolon |               ; |   53 |
| 204 |           If |         If |              If |   54 |
| 205 |            ( |    LBraket |               ( |   54 |
| 206 |            ! |        Not |               ! |   54 |
| 207 |            ( |    LBraket |               ( |   54 |
| 208 |              | Identifier |         _aaaaaa |   54 |
| 209 |           Lt |       Less |              Lt |   54 |
| 210 |            ( |    LBraket |               ( |   54 |
| 211 |              | Identifier |         _bbbbbb |   54 |
| 212 |           ++ |   Addition |              ++ |   54 |
| 213 |              | Identifier |         _cccccc |   54 |
| 214 |            ) |    RBraket |               ) |   54 |
| 215 |            ) |    RBraket |               ) |   54 |
| 216 |            ) |    RBraket |               ) |   54 |
| 217 |        Start |      Start |           Start |   55 |
| 218 |        Write |      Write |           Write |   56 |
| 219 |            ( |    LBraket |               ( |   56 |
| 220 |              |     Number |              10 |   56 |
| 221 |            ) |    RBraket |               ) |   56 |
| 222 |            ; |  Semicolon |               ; |   56 |
| 223 |          End |        End |             End |   57 |
| 224 |         Else |       Else |            Else |   58 |
| 225 |        Start |      Start |           Start |   59 |
| 226 |        Write |      Write |           Write |   60 |
| 227 |            ( |    LBraket |               ( |   60 |
| 228 |              |     Number |               0 |   60 |
| 229 |            ) |    RBraket |               ) |   60 |
| 230 |            ; |  Semicolon |               ; |   60 |
| 231 |          End |        End |             End |   61 |
| 232 |          End |        End |             End |   62 |
| 233 |              |  EndOfFile |                 |   -1 |
============================================================
